AssetId|ClientAssetID|LocationSGcode FROM FAR
1857|LAN9603921|C01600060000017900000
1858|LAN9600603|C01600450000765100000
1860|LAN9603120|C01600450000583500000
1867|LAN9599794|C01600030000084100000
1867|LAN9601423|C01600030000084200000
1867|LAN9601992|C01600030000090800000
1871|LAN9601422|C01600070009431600000
1877|LAN9601421|C01600070008647600000
1877|LAN9602292|C01600070008649300000
1877|LAN9603168|C01600070008648800000
1877|LAN9603973|C01600070008652800000
18821|LAN9599928|C05400050000363100000
1888|LAN9601419|C01600630003928600000
1896|LAN9598946|C01600110000157300000
1896|LAN9604814|C01600110000149000000
1898|LAN9600638|C01600630003593400000
19001|LAN9601414|C01600070007777600000
19061|LAN9602499|C02700010000023200000
1913|LAN9598944|C01600070002344400000
1913|LAN9601175|C01600070002345100000
1913|LAN9602883|C01600070002345000000
1913|LAN9603968|C01600070002344500000
19161|LAN9603519|C06700000000052700002
1920|LAN9603967|C01600450000095600000
1928|LAN9603966|C01600070008246400000
1930|LAN9598928|C01600400000265400000
1930|LAN9598932|C01600400000120500000
1930|LAN9598934|C01600400000119800000
1930|LAN9598937|C01600400000113900000
1930|LAN9599782|C01600400000121500000
1930|LAN9599787|C01600400000120000000
1930|LAN9600632|C01600400000119600000
1930|LAN9601403|C01600400000121200000
2142|LAN9603071|C01600700000257900000
2142|LAN9603076|C01600700000244800000
2142|LAN9603079|C01600700000552600000
2142|LAN9603080|C01600700000371000000
2142|LAN9603081|C01600700000370900000
2142|LAN9603876|C01600700000274300000
2142|LAN9603877|C01600700000259300000
2142|LAN9603885|C01600700000258000000
2142|LAN9603896|C01600700000552300000
2142|LAN9603897|C01600700000529700000
2142|LAN9603898|C01600700000440600000
2142|LAN9603899|C01600700000275800000
2142|LAN9603900|C01600700000274600000
2142|LAN9604726|C01600700000266000000
2142|LAN9604727|C01600700000260100000
2142|LAN9604730|C01600700000260000000
2142|LAN9604731|C01600700000259900000
2142|LAN9604734|C01600700000258600000
2142|LAN9604735|C01600700000245600000
2142|LAN9604736|C01600700000245300000
2142|LAN9604738|C01600700000244900000
2142|LAN9604744|C01600700000371100000
2143|LAN9604743|C01600700001512700000
2146|LAN9602214|C06700200000007400000
2147|LAN9603078|C06700200000054100000
2149|LAN9601473|C01600700000803500000
2151|LAN9598845|C01600700000161800000
2151|LAN9598847|C01600700000161100000
2151|LAN9598848|C01600700000160800000
2151|LAN9598851|C01600700000160500000
2151|LAN9598852|C01600700000159600000
2151|LAN9598854|C01600700000158900000
2151|LAN9598855|C01600700000158600000
2151|LAN9598856|C01600700000158400000
2151|LAN9598857|C01600700000158300000
2151|LAN9599697|C01600700000160700000
2151|LAN9599700|C01600700000159100000
2151|LAN9599701|C01600700000158700000
2151|LAN9599703|C01600700000157500000
2151|LAN9599704|C01600700000157200000
2151|LAN9600539|C01600700000161600000
2151|LAN9600540|C01600700000161000000
2151|LAN9600547|C01600700000159700000
2151|LAN9600548|C01600700000159000000
2151|LAN9601139|C01600700000162200000
2151|LAN9601333|C01600700000844700000
2151|LAN9601334|C01600700000562100000
2151|LAN9601335|C01600700000162000000
2151|LAN9601339|C01600700000161200000
2142|LAN9598860|C01600700000552200000
2142|LAN9598861|C01600700000529800000
2142|LAN9598862|C01600700000276000000
2142|LAN9598863|C01600700000275700000
2142|LAN9598864|C01600700000275300000
2142|LAN9598865|C01600700000275200000
2142|LAN9598866|C01600700000275000000
2142|LAN9599485|C01600700000256800000
2142|LAN9599695|C01600700000260200000
2142|LAN9599696|C01600700000259000000
2142|LAN9599698|C01600700000258700000
2142|LAN9599699|C01600700000258200000
2142|LAN9599702|C01600700000244600000
2142|LAN9599705|C01600700000552800000
2142|LAN9599707|C01600700000552400000
2142|LAN9599709|C01600700000275100000
2142|LAN9599710|C01600700000274700000
2142|LAN9600541|C01600700000259200000
2142|LAN9600542|C01600700000259100000
2142|LAN9600544|C01600700000258900000
2142|LAN9600545|C01600700000258100000
2142|LAN9600549|C01600700000257800000
2142|LAN9600550|C01600700000245500000
2142|LAN9600552|C01600700000510500000
2142|LAN9600553|C01600700000440500000
2142|LAN9601140|C01600700000529900000
2142|LAN9601336|C01600700000274500000
2142|LAN9601337|C01600700000266200000
2142|LAN9601340|C01600700000258500000
2142|LAN9601341|C01600700000258300000
2142|LAN9601342|C01600700000257600000
2142|LAN9601343|C01600700000245100000
2142|LAN9601344|C01600700000244700000
2142|LAN9601348|C01600700000979800000
2142|LAN9601349|C01600700000926100000
2142|LAN9601350|C01600700000552500000
2142|LAN9601351|C01600700000275900000
2142|LAN9601352|C01600700000275600000
2142|LAN9601353|C01600700000275400000
2142|LAN9601354|C01600700000274800000
2142|LAN9602199|C01600700000274200000
2142|LAN9602200|C01600700000266100000
2142|LAN9602208|C01600700000245400000
2142|LAN9602209|C01600700000245200000
2142|LAN9602212|C01600700000245000000
2142|LAN9602215|C01600700000552700000
2142|LAN9602217|C01600700000274900000
2142|LAN9603065|C01600700000274400000
2142|LAN9603068|C01600700000259500000
20426|LAN9604767|C01600190000484000000
20477|LAN9599725|C06700130000926200000
20554|LAN9604758|C01600020001264700000
2056|LAN9604757|C01600340000192200000
20609|LAN9602720|C05500100000503200000
2065|LAN9598544|C04600100000352400000
2065|LAN9602750|C04600100000352100000
2065|LAN9604418|C04600100000352000000
2068|LAN9604427|C04600100000129800000
2072|LAN9602202|C01600460000222900000
2084|LAN9603539|C01900010000340600000
2088|LAN9602690|C01900010000284900000
2088|LAN9605219|C01900010000141700000
2089|LAN9602699|C01900010000133000000
2089|LAN9605223|C01900010000132800000
2091|LAN9599715|C01600540000131300000
2099|LAN9603680|C06700230000152900000
2109|LAN9604465|C01300240000000300000
2110|LAN9603634|C01300240000135600000
2115|LAN9601048|C02000020000033100000
2115|LAN9604411|C02000020000033000000
2115|LAN9604414|C02000020000034800000
2130|LAN9598534|C02000030000052900000
2130|LAN9601045|C02000030000052000000
2134|LAN9600029|C01300140000861600000
2154|LAN9598533|C02000040000014700000
2154|LAN9600219|C02000040000017600000
2154|LAN9602745|C02000040000046100000
2161|LAN9600930|C08500000000041400048
2165|LAN9601878|C04600110000053500000
2165|LAN9603591|C04600110000007000000
18401|LAN9602607|C05500100000021400000
18401|LAN9602608|C05500100000150000000
18401|LAN9604281|C05500100000021300000
18401|LAN9604282|C05500100000021200000
18401|LAN9605140|C05500100000021500000
1841|LAN9598899|C01600240000152800000
1841|LAN9600605|C01600240000088100000
1841|LAN9603121|C01600240000307700000
1842|LAN9598950|C01600030000073900000
1842|LAN9598952|C01600030000073600000
1842|LAN9599799|C01600030000084500000
1842|LAN9599800|C01600030000083800000
1842|LAN9600599|C01600030000073000000
1842|LAN9600600|C01600030000072900000
1842|LAN9601384|C01600030000073500000
1842|LAN9601385|C01600030000072800000
1842|LAN9601428|C01600030000073800000
1842|LAN9602251|C01600030000073100000
1842|LAN9602252|C01600030000072700000
1842|LAN9603117|C01600030000073200000
1842|LAN9603919|C01600030000073300000
1842|LAN9603923|C01600030000072600000
1842|LAN9603980|C01600030000080700000
1842|LAN9604776|C01600030000073400000
1843|LAN9602293|C01600070005874000000
1843|LAN9603976|C01600070005873900000
1843|LAN9603978|C01600070005873800000
1844|LAN9598908|C01600070006057400000
1844|LAN9599795|C01600070006047600000
1844|LAN9600640|C01600070006047300000
1844|LAN9601392|C01600070006057700000
1844|LAN9601424|C01600070006047500000
1844|LAN9603932|C01600070006055800000
1844|LAN9603933|C01600070006047700000
1844|LAN9604786|C01600070006055700000
